,tweets,date,tweet_id,subjectivite,sentiment,replay,tweet
0,The 2SAT problem P 3SAT no problem,2020-09-02 20:55:04,1.3012623871154258e+18,objective,0.0,"['You forgot Horn renamable SAT P 3SAT problems', 'Its like: Bob scientist John scientist']",
1,Rookie: How I write program X professional: How I write maintainable program X develop in,2020-09-02 16:22:07,1.3011936981480694e+18,objective,1.0,"['I wondering headshot teacher I training students think like Pro important start like Rookie example In words necessary learn importance maintainability the hard way Any advice', 'Stallion coder: How I write maintainable program X good user experience develop incrementally testable way write magnificent commit messages', 'Write programs needing near-zero maintenance Instead interweaving requirements piece code develop independently-useful blocks If dont like behavior block dont think changing it dont use it Requirements level only', 'ethical developer - write program X ethics4eu', 'Actually professional: We rewrite months lets write simple solution add couple tests', 'Maintainability important thing software industry rubberband specifications Nobody builds bridges way add parts later I kind of feel bad software developers', 'Me: maintanable who', 'Me: whats budget', 'Expert: Is important business time', 'Me: stackoverflow', 'shts exhausting context home', 'Old professional: I hope written program X ', ' Important guidelines Life: 1 When alone mind thoughts too When angry mind temper 3 When group mind behavior for When trouble mind emotions 5 When God starts blessing you mind ego  ', 'Savant: How I write program X worry bunch pointless things outset']",
2,Grovers quantum algorithm search and records Oh sqrt and  time,2020-09-02 15:45:16,1.3011844237532856e+18,objective,0.0,[' Important guidelines Life: 1 When alone mind thoughts too When angry mind temper 3 When group mind behavior for When trouble mind emotions 5 When God starts blessing you mind ego'],
3,Min-Max heap beats binary heap modern hardware,2020-09-02 12:53:58,1.3011413156908237e+18,objective,1.0, ,
4,No matter slow writing clean code always slower make mess -,2020-09-01 20:55:03,1.3008999968338452e+18,objective,-1.0,"['True Sometimes slower right', 'Makes perfect sense patience', 'Hmm nice quotation', 'This profoundly true developers act werent', 'slogan behind']",
5,A couple years ago asynchronous wasnt commonly used outside software development Now much general public knows term,2020-09-01 19:02:41,1.3008717173305795e+18,objective,-1.0,"['This isnt fact', 'Also ping bandwidth', 'But shared meaning it', 'How riddle that', 'Its funny cause time I saw word today Stochastic syllabus', 'I argue Some general public heard its techno-babble uninitiated', 'Hmmm', 'But I dont think understands it']",
6,Gray code,2020-09-01 15:45:17,1.3008220413865206e+18,objective,0.0, ,
7,In software rarely meaningful requirements Even do measure success matters whether o,2020-09-01 14:08:13,1.30079761502251e+18,objective,1.0, ,
8,Half precision floating point NET,2020-09-01 01:49:43,1.3006117644014346e+18,objective,-1.0, ,
9,The value prototype education gives you code itself - Alan Cooper,2020-08-31 22:27:24,1.300560849044738e+18,objective,0.0, ,
11,Short introduction topology computer science grad students,2020-08-31 15:45:15,1.3004596442095084e+18,objective,0.0, ,
12,Visualizing software development effort,2020-08-28 20:55:05,1.2994504535713833e+18,objective,0.0, ,
13,Fancy algorithms slow and small and usually small -- Rob Pike,2020-08-28 15:45:38,1.2993725784574976e+18,objective,-1.0,"['I trouble reconciling quote insisting big data', 'Performance usually doesnt matter and small cool story brother', 'Tell it', 'also and natural number small relative concept', '1989', 'Hey professional DDOSers security researchers Heres good lead: Just look Rob Pikes code', 'Grapes crushed wine Diamonds form pressure Olives pressed release oil Seeds grow darkness Whenever feel crushed pressure pressed darkness youre powerful place transformation amp transmutation Trust process ', 'Is it though Maybe pertinent 2020 fancy algorithms tend poor caching behavior overwhelms asymptotic gains']",
14,Five tips floating point programming,2020-08-27 20:55:11,1.29908809326225e+18,objective,0.0,['This triggered PTSD particularly sumsubtraction '],
15,As soon Analytical Engine exists necessarily guide future course science -- Charles Babbage,2020-08-27 15:45:40,1.2990102001045627e+18,Subjective,0.0,"['So profound farsighted', ' Important Lessons Life: 1 Life short let depressed too Be joyful thingsIf cant re-examine life 3 Always look best for Science amp religion coexist arrogance die 5 Truth way  ']",
16,Laziness Python,2020-08-27 03:33:14,1.2988258749895516e+18,objective,0.0, ,
17,CurryHoward correspondence programs proofs,2020-08-26 20:55:12,1.2987257067177738e+18,objective,0.0,['How Shemp - Howard correspondence '],
18,Do fall illusion preventing errors errors fix The truth is cost pr,2020-08-26 15:45:31,1.298647771709399e+18,objective,0.0,"['Life critical systems evident obvious cost is life', 'I suppose hinges measure cost In domains errors defects customer enormous cost repair restest deploy verify production again worse loss confidence customer Devastating', 'Its like somebodys talking think remember seeing kick dog All I think I remember Catmull screwing programmers getting paid raking in ', 'Thats generalization completely wrong The effort identify fix root cause production error expensive compared identifying fixing error development phase', 'complete opposite were taught wonder slanted perspective working 3D graphics bug creates visual problem meanwhile bug nasa paypal creates bigger problem', 'The truth is cost preventing errors far greater cost fixing them The opposite case It depends consequences error Granted Im mechanical errors Reminds article: ', '85% effort prevent absent by enforced net deprivation errors occur 5% cases But cases', 'point design easily avoid mistakes informed choice minimal number components cost coming easily beats cost years security fixes point case: Rust versus see']",
19,A Toffoli gate maps a be see a be a AND be hacker see,2020-08-26 04:40:01,1.2984802961075732e+18,objective,0.0,['please I improve update aspect'],
20,A distributed system one failure computer even know existed render co,2020-08-25 20:50:20,1.2983620964560077e+18,objective,-1.0,['A trustworthy distributed error turn failure - interdependence Starting - storing collecting zero personal data '],
21,More Twitter accounts like,2020-08-25 16:15:34,1.2982929459264635e+18,Subjective,1.0, ,
22,Hellman Diffie Merkle demonstrated public key cryptography 1976,2020-08-25 15:45:42,1.298285430165713e+18,Subjective,0.0,['Published in: IEEE Transactions Information Theory  Volume:  Issue:  Nov   private public key linux hellman Diffie Merkle computerscience'],
23,If lie compiler get revenge -- Henry Spencer,2020-08-24 20:55:12,1.2980009335787807e+18,objective,0.0,"['agrees', 'Thats like computers lie']",
25,A lot get college sort of dehydrated knowledge Much career rehydrating discover,2020-08-24 13:31:03,1.2978891599280005e+18,objective,1.0,"['I love interview Ron fin explains came algorithm gave Gödel Prize 2014 He kept getting challenged colleague got idea significantly improved result:', 'You mean t routinely come clever algorithms whiteboarding job tech companies', 'ned more', 'Right  times young people dont fully grasp time concept  especially theyre hurry produce Some things quickly tasks lot time analysis design  important discern other', 'The thing clever algorithms easy use fiendishly difficult invent', 'Feynman: There types mathematical objects: trivial ones proved', 'Its lot fun geniuses previous decades thinking time discoveries considered commonplace', 'Much career rehydrating discovering motivation application ideas I exposed student', 'They motivated problem come algorithm They driven solution long experience duplicated claroomYou learn algorithm vacuum not']",
26,They also motivated problem come algorithm They may driven solution b,2020-08-24 12:54:07,1.297879862456324e+18,objective,0.0, ,
27,When see clever algorithm presented Counter-Strike cla minutes intimidating You reasonably think,2020-08-24 12:48:40,1.297878491963306e+18,Subjective,1.0, ,
28,Im great programmer Im good programmer great habits -Kent Beck,2020-08-22 19:31:47,1.297255165481943e+18,Subjective,1.0, ,
30,The Archive Interesting Code,2020-08-21 20:05:14,1.2969011923296338e+18,Subjective,1.0, ,
31,Dozens definitions complexity:  pdf,2020-08-21 15:45:39,1.296835867282219e+18,objective,0.0, ,
33,A sentence demonstrates all English vowel sounds analyzed Python Mathematica,2020-08-20 16:33:22,1.296485487583146e+18,objective,0.0, ,
34,The P versus no problem problem first mentioned letter Kurt Gödel John von Neumann -- Lance Fortnow,2020-08-20 15:45:51,1.2964735314176123e+18,objective,1.0,"['Does this letter still exist?', 'olessons.', 'Obligatory reminder of Nas s secret letter that predates Ks.', 'ObNoxious', 'different note elucidate difference bubbly sort insertion sort or few tweets', 'Wikipedia', 'best case right', 'Bubble sort gets lots criticism better sorting relatively stable rankings sports teams music charts etc', 'yeah n30 matters', 'For efficiency purpose small collections long nearly-sorted collections', 'And completely run-path deterministic change compareswap arithmetic conditional swap: average - halfsum average  halfsum']",
35,Deleting red-black trees,2020-08-19 20:55:05,1.2961889640266834e+18,objective,0.0, ,
36,The average operations quicksort sort list and items roughly times nth prime number,2020-08-19 15:45:52,1.2961111459972751e+18,objective,-1.0,"['Should mention: average fully random input happens real worldUnless sorting list cryptocurrency addresses maybe', 'Doesnt matter talking average time items randomly shuffled begin with pivoting rule pick random item', 'crucial question: choose pivot']",
38,one lesson functional programming: yeah get data something it DON'T thing imagine,2020-08-19 12:39:11,1.2960641677959946e+18,objective,0.0, ,
39,The game changing moment I read Big Ball Mud satire many seem to guideline,2020-08-19 12:36:50,1.296063573987332e+18,objective,1.0, ,
40,Newton's method root finding: x_n 1 x_n - f x_n f x_n,2020-08-18 20:55:10,1.2958265954463908e+18,objective,0.0, ,
