,Unnamed: 0,Unnamed: 0.1,tweets,date,tweet_id,subjectivite,sentiment,replay
0,0,0,riz lait aux pommes avec des pommes des poires cest saison recettes desserts,2020-09-02 16:30:43,1301195863390334984,objective,0, 
1,1,1,kouign amann proverbe breton fait qui veut réussit qui peut recettes dessert,2020-09-02 14:30:45,1301165671225667586,objective,0, 
2,2,2,champignons à lhuile dolive pour déguster toute lannée recettes champignons,2020-09-02 10:30:21,1301105174413488128,objective,0, 
3,3,3,pappardelles aux cèpes pâtes chic saison recettes pâtes pasta champignons,2020-09-02 08:30:21,1301074976263548928,objective,0, 
4,4,4,brioche aux pralines roses saint genix une tradition régionale recettes brioche,2020-09-01 16:30:37,1300833450916708353,objective,0,"['waaw', 'Miam Miam']"
5,5,5,forêt noire grand claique recettes desserts chocolats gateau cerise recette,2020-09-01 14:30:41,1300803266729644032,Subjective,1,['Miam Miam']
6,6,6,soufflé à carotte sera délicieux avec cin muscade recettes carottes,2020-09-01 10:30:20,1300742783247044615,objective,0, 
7,7,7,curry potiron légumes cest bon recettes potiron curry vegan vegetarien,2020-09-01 08:30:19,1300712579262828545,objective,0, 
8,8,8,beignets pomme dessert mon enfance recettes beignets pommes beignet pomme,2020-08-31 16:30:31,1300471037004521476,objective,0,['Miam Miam']
9,9,9,aumônière poire belle hélène une poire belle hélène à façon recettes poires chocolat,2020-08-31 14:30:55,1300440940327378952,objective,0, 
10,10,10,quiche à ratatouille délicieusement saison recettes quiches ratatouille recette,2020-08-31 10:30:36,1300380459470336002,objective,0,['Miam Miam']
11,11,11,omelette aux girolles je vous propose une semaine champignons saison demarre recettes,2020-08-31 08:30:30,1300350237387747331,objective,0, 
12,12,12,tarte aux pommes vanille cannelle façon crumble délice gourmand recettes tarte,2020-08-30 16:30:28,1300108635054518273,objective,0,['Miam Miam :']
13,13,13,biscuits coco lemon curd fruité acidulé recettes desserts recette cuisine,2020-08-30 14:30:39,1300078485227139074,objective,0,['Miam Miam love']
14,14,14,millefeuille tomates chèvre une petite crudité légère recettes crudités recette,2020-08-30 10:30:23,1300018020023185408,objective,0, 
15,15,15,pennes maccheroni aux fromages pâtes plaisir familial recette pates fromage,2020-08-30 08:30:19,1299987802675982336,objective,0, 
16,16,16,petits gâteaux amandes raisins dessert tout bon tout simple recettes desserts raisins,2020-08-29 16:30:30,1299746256479289345,objective,0, 
17,17,17,tarte fondante chocolat aux poires mariage parfait recettes tartes poires,2020-08-29 14:30:30,1299716060195762177,objective,0, 
18,18,18,tarte aux poireaux aux lardons pour déjeuner une entrée soir recette cuisine,2020-08-29 10:30:16,1299655603531513856,objective,0,['Aujourdhui cest : épaule dagneau  chou-fleur Face savouring food']
19,19,19,omelette pommes terre gruyère tomates aussi bon chaud froid recettes cuisine,2020-08-29 08:30:18,1299625409571684352,objective,0, 
20,20,20,poires rôties miel poires parfumées gourmandes recettes desserts recette cuisine,2020-08-28 16:30:28,1299383859017023491,objective,0,['Miam Miam ']
21,21,21,gateau aux poires façon crumble avec thé café recettes desserts poires poire fruits,2020-08-28 14:30:24,1299353644081573888,objective,0, 
22,22,22,gratins pommes terre romarin accompagnement dun filet poulet grillé recettes,2020-08-28 10:30:22,1299293239590244357,objective,0, 
23,23,23,pintade aux raisins peut aussi faire avec poulet recettes recette volaille,2020-08-28 08:30:17,1299263020733026306,objective,0, 
24,24,24,marbré aux mirabelles profitez mirabelle saison courte recettes desserts,2020-08-27 16:31:18,1299021682838040576,objective,0, 
25,25,25,tarte tatin épicée poires thym choisir poires mûres à point tartes desserts,2020-08-27 14:31:13,1298991462529392643,objective,0, 
26,26,26,salade saison aux raisins avec des grains muscat cest meilleur recettes salade,2020-08-27 10:30:39,1298930920448307200,objective,0, 
27,27,27,magret canard aux raisins raisin arrive recettes canard recette cuisine raisin,2020-08-27 08:30:42,1298900736676376576,objective,0, 
28,28,28,cake épicé aux poires saison des poires recette poires gâteaux cake recettes poire,2020-08-26 16:31:29,1298659343102103560,objective,0, 
29,29,29,clafoutis aux figues poêlées choisir des figues française bien mûre recettes cuisine,2020-08-26 14:31:16,1298629087968321536,objective,0, 
30,30,30,petites tartes oeufs chorizo avec petite salade déjeuner recettes entrées tarte,2020-08-26 10:30:35,1298568516661125125,objective,0, 
31,31,31,émincé poulet à normande recette gourmande recettes poulet recette cuisine,2020-08-26 08:30:42,1298538346915012608,objective,0, 
32,32,32,comme tous ans je fais mes confitures avant fin des fruits abricots reines claudes mirabelles,2020-08-25 16:31:18,1298296906339299340,objective,0, 
33,33,33,gâteau poires noix cannelle poire tout dessert - recettes desserts recette,2020-08-25 14:31:20,1298266714673516548,objective,0, 
34,34,34,feuilletés fromage grand claique recettes recette cuisine fromage feuilleté,2020-08-25 10:30:34,1298206126065037312,Subjective,1, 
35,35,35,émincé veau aux champignons petit plat pour une semaine gourmande recette veau,2020-08-25 08:30:35,1298175929630568449,objective,0, 
36,36,36,voila mes confitures figues pot,2020-08-24 16:31:35,1297934589550354433,objective,0, 
37,37,37,cake chocolat poire une belle gourmandise desserts poires chocolat cake gateau poire,2020-08-24 14:31:02,1297904254485700610,objective,0, 
38,38,38,salade aux poires roquefort salade saison recettes salade recette salades poires,2020-08-24 10:30:44,1297843778263416832,objective,0,['Jadore les salade au roquefort par contre je mets des pomme Granny Smith à la place des poires Thumbs upRed heart']
39,39,39,filet mignon à bière idée pour demain recettes porc recette cuisine viande biere,2020-08-24 08:30:32,1297813531866390528,objective,0, 
40,40,40,compote mirabelles aux épices cest saison cest bon mirabelles desserts,2020-08-23 16:30:39,1297571969299369984,objective,0,
41,41,41,tarte aux poires noix poire sortie recettes desserts poires tarte,2020-08-23 14:30:36,1297541755580174338,objective,0, 
42,42,42,brouillade doeuf aux oignons bacon cuisine british revisité - recettes claique,2020-08-23 10:30:18,1297481284646830080,objective,0,['Ca parent at side lair très bon dsl']
43,43,43,filet mignon veau aux pruneaux avec veau porc recettes veau viande recette,2020-08-23 08:30:20,1297451093652373505,objective,0, 
44,44,44,brioche perdue aux pommes poires derniers gouter vacances - recettes poires,2020-08-22 16:30:35,1297209565155594246,objective,0, 
45,45,45,muffins chocolat poire faire pour weekend recettes desserts recette muffins,2020-08-22 14:30:46,1297179408344780805,objective,0, 
46,46,46,soupe pistou tradition fin dété provence avec des légumes frais recettes,2020-08-22 10:30:17,1297118892058386437,objective,0, 
47,47,47,poivrons farcis boulghour gourmand léger bon pour santé recettes légumes,2020-08-22 08:30:25,1297088724401033217,objective,0, 
48,48,48,sablés surprises à framboise une surprise gourmande recettes biscuits framboises,2020-08-21 16:30:26,1296847136471109635,objective,0, 
49,49,49,muffins poire cannelle certains naime parent cannelle moi jadore vous recette,2020-08-21 14:30:26,1296816939197702146,objective,0,
50,50,50,melon figues à mozzarella jambon encore petit air vacances recettes,2020-08-21 10:30:19,1296756513147686912,objective,0, 
51,51,51,crevettes à lananas curry voyage encore peu recettes curry crevettes,2020-08-21 08:30:22,1296726325940682761,objective,0, 
52,52,52,cake chocolat ltlt vite fait gtgt envie chocolat testez cette recette recettes chocolat,2020-08-20 16:31:15,1296484955485241348,objective,0, 
